,german,italian,chineese,spanish,french
0,I need to know who makes Cetirizine. My Walmart is looking for a new supply and can't get the latest,"I need to know who makes cetirizine, my Walmart is looking for a new supply and is not receiving the recent one",I need to know who makes Cetirizine My Walmart is looking for a new supply but haven’t gotten any recently,I need to know who manufactures cetirizine my walmart is looking for a new supply and not receiving the recent one,"I need to know who makes Cetirizine, my Walmart is looking for a new supply and is not getting the recent one"
1,who makes bromocriptine? I am wondering what company makes the drug bromocriptine. I need it for a swelling on my pituitary gland and the cost keeps going up. I can never buy a full prescription because of the price and I have been told if I contact the manufacturer of the drug they sometimes offer coupons or something similar to help me pay for the drug. If I buy 10 tablets that I have to take 2 times a day it will cost me 7800 and that is how I have to buy them. Thanks.,who makes bromocriptine i wonder what company makes the drug bromocriptine i need it for a lump i have on my pituitary gland and the cost keeps increasing i can never buy a full prescription because of the price and i have been told if i get my hands on the drug manufacturer sometimes they will give coupons or something to help me afford the medicine if i buy 10 pills that i have to take 2 times a day it costs me 7800 and thats how i have to buy them thanks,,,
2,"hello, can you tell me where I can order the Nulytely, who is the manufacturer, what phone number can I call, thanks",hi can you tell me where i can order nulytely who is the manufacturer what phone number i can call thanks,Hi can you tell me where can i order nulytely who is the manufacturer what phone number can i call thanks,"Hello, can you tell me where I can order Nulytely? Who is the manufacturer? What phone number can I call? Thank you.",hello can you tell me where can i order the nulytely who is the manufacturer what phone number can i call thank you
3,Williams Syndrome. I want to get my daughter tested for Williams Syndrome. Can you please tell me where I can go or who does this in my area? Thanks.,,Williams syndrome I would like to have my daughter tested for Williams syndrome can you tell me where to get tested or who can do it in my area thanks,,
4,"clinicaltrialsgov Question General Information Both my parents died of multiple myeloma in Texas, my father was in his 70s and my mother was 84. The oncologist treating me advised me to get tested every few years. I did not know about genetic testing for MM. I am a 63 year old woman in good health. Where can I get the genetic test for MM and what is the approximate cost of the test?",,"clinicaltrialsgov Question General Information Both of my parents died in Texas, my father is in his 70s and my mother is 84, my primary oncologist recommended that I get tested every few years, I didn't know there was a genetic test for multiple myeloma, I'm 63 and in good health, where can I get genetic testing for multiple myeloma and how much would it cost approximately",ClinicalTrialSgov Question General Information Both parents died in TX location with father having multiple myeloma at 70 and mother 84 years old. Good health and where could I get genetic testing for MM and cost approx.,ClinicalTrialsgov Question General Information Both of my parents died in Texas with multiple myeloma. My father was 70 and my mother was 84. My treating oncologist advised me to get tested every two to three years. I was not aware of a genetic test for MM. I am a healthy 63-year-old woman. Where can I get the genetic test for MM and what is the approximate cost of the test?
5,"Genetic Testing for IHHS Heart Disease Is there a commercial genetic test for IHHS heart disease? My family has this inherited disease and I would like to know who is susceptible to it. If so, where can I get it done in Texas?","IHHS heart condition genetic test is there a commercial genetic test for IHHS heart condition? My family has this hereditary condition and I would like to know who is susceptible. If so, where can I get it done in Texas?",genetic testing for ihhs heart disease is there a commercial genetic test for ihhs heart disease my family has this genetic disorder and i would like to know who is at risk for it if so where can i get tested in texas,"Is there a commercial genetic test for the IHHS heart condition? My family suffers from this inherited condition and I would like to know who is susceptible. If so, where can I get it done in Texas?",genetic test for ihhs heart disease is there a commercial genetic test for ihhs heart disease my family has this hereditary disease and i would like to know who is susceptible if so where can i get it done in texas
6,I have been told I have Friedreich's Ataxia. I am looking for treatment to reverse it. It has to do with chromosome number 9 being defective in both of my parents and possible damage to chromosome number 10. Can you tell me if number 9 is defective in me?,"I have been told that I have Friedreich's Ataxia and am seeking treatment to reverse it, it has to do with faulty chromosome number 9 in both my parents and possible damage to chromosome number 10, could you tell me if number 9 is faulty in me?","I have been told that I have Friedreich’s Ataxia and I am looking for a treatment to reverse it, it is related to a defect in my parents’ chromosome 9 and possible damage to chromosome 10, can you tell me if my chromosome 9 is defective",,I have been told that I have Friedreich's Ataxia. I am looking for a treatment to reverse it. It has to do with the defective chromosome number 9 in both my parents and possible damage to chromosome number 10. Could you tell me if number 9 is defective in me?
7,"my sister in Texas was just diagnosed with CPTI deficiency today. We don't know which variant yet I was told a year ago after she almost died from Rhabdo-CKS 150,000 ANN RF. The breathing difficulties need to be tested for FA metabolic defect. Until today I really had no idea what test to request. Her muscle BX was done a few months ago as she was still sick last year. Another relapse of Rhodo this year triggered the BX. She is retired military. I don't know which branch of medicine to contact for genetic testing. On the NIH website, muscle BX is the most informative. I also found a phone number.",my sister in texas was just diagnosed with cptii deficiency today we still dont know what variant i was told a year ago after her near death from rhabdomyolysis cks 150000 atn rf respiratory compromise to be tested for metabolic failure ago until today i really had no idea what test to order her muscle BX was done a few months ago since she was still sick last year another recurrence of rhabdomyolysis this year she required the BX she is retired military i dont know what branch of medicine to contact for genetic testing from nih website the muscle BX is the most definitive i also found a phone n,"My sister who lives in Texas was just diagnosed with cptii deficiency today, we don’t know which variant yet, I was told to get tested for fa metabolic errors a year ago after she was near death from rhabdomyolysis cks 150000 atn rf impaired respiratory function, to this day I really don’t know which test to ask her for, she had a muscle bx a few months ago because she was still sick last year and another relapse of rhabdomyolysis this year prompted her to get a bx, she is a veteran, I don’t know which branch of medicine to contact for genetic testing, the muscle bx from the nih website is the most definitive, I also found a phone number n","My sister in Texas was diagnosed today with cptii deficiency, we don't know what variant yet. I was told a year ago after she almost died from rhabdomyolysis, cks 150000 atn rf, respiratory compromise, to be tested for a metabolic error of AF. Until today I really had no idea what test to order. She had a muscle bx done a few months ago as she was still sick last year. Another recurrence of rhabdomyolysis this year prompted the bx. She is retired military. I don't know what branch of medicine to contact for genetic testing from the NIH website. Muscle bx is the most definitive. I also found a phone number.",
8,"I'm trying to lose 50 pounds before July. The problem is that I work 16 hours a day and don't have time for anything else. Are there any diet pills or shake that can help me? My problem areas are stomach, waist, butt and hips. Please help me.","im trying to lose 50 lbs before july, the problem is i work 16 hours a day and dont have time to do anything else. Is there a pill or deit shake i can use to help me? Also my problem area is stomach, waist, butt and hips. Please help me.","I want to lose 50 pounds by July, the problem is I work 16 hours a day and don’t have time to do anything else, is there any diet pills or shakes that can help me, my problem areas are my abdomen, waist, hips and hips, please help me",I am trying to lose 50 pounds before July the problem is I work 16 hours a day I don't have time to do anything else if there is any DEIT pills or shake I can use to help me also my problem area is stomach waist and hip please help,"I am trying to lose 50 pounds before July, the problem is I work 16 hours a day and I don't have time to do anything else. Are there any Deit pills or shakes I can use to help me? My problem area is stomach, waist, butt and hips, please help me"
9,clinicaltrialsgov question specific study my son is 17 years old he has Omental panniculitis Weber-Cristian disease can your institute help me suggest what is this disease and how to treat it if you need i can send the full details,clinicaltrialsgov specific study question my son is 17 years old has omental panniculitis Weber's disease Cristian your institute can help me suggest what this disease is and how to treat it if you need I can send the complete details,,ClinicalTrialSgov Question Specific Study My son is 17 years old. He has omental panniculitis Weber Christian disease.,Clinicaltrialsgov question specific study my son is 17 years old he has omental panniculitis weber's disease Cristian can your institute help me suggest what is this disease and how to treat it if you need i can send all details
