,Unnamed: 0,gold_questions,fqd_german,fqd_italian,fqd_chineese,fqd_spanish,fqd_french,prqd_german,prqd_italian,prqd_chineese,prqd_french,prqd_spanish,qsv_german,qsv_italian,qsv_chineese,qsv_french,qsv_spanish
0,0,Who manufactures Cetirizine for Walmart's new supply?,,,,,,Who makes Cetirizine? Walmart needs a new supplier for the latest,Who makes cetirizine for Walmart's supply?,Who makes Cetirizine for Walmart?,Who makes Cetirizine? Walmart looking for new supply.,Cetirizine supplier needed for Walmart's new supply.,Who makes Cetirizine? New supply needed at Walmart.,"Who makes cetirizine for Walmart?

Explanation: The question has","Who makes Cetirizine for My Walmart?
Explanation: This question",Who makes Cetirizine for Walmart?,Who manufactures cetirizine that Walmart is looking to order?
1,1,Who makes bromocriptine for high cost?,Who produces Bromocriptine?,Who makes Bromocriptine? Can get coupons if purchase 10 pills,Which company makes bromocriptine? Help with drug cost?,Create a concise summary of the provided question in 5-10 words or,Who manufactures Bromocriptine? Company offering coupons for medication?,Who makes Bromocriptine?,Make the question concise.,There is no need to rewrite the given question as it is already very concise and,"No summary provided as ""nan"" means ""not a number"".",Provide a concise summary of the text given. If there is no text provided or,Who makes Bromocriptine and can you offer a coupon?,Who makes bromocriptine and offers coupons?,Create an abbreviated version of the given statement without changing the meaning.,There is no question to rephrase.,None.
2,2,"Who makes Nulavé, and what's the phone number to order","Where can I order Nulytely, manufacturer, phone number?",Where can I order NUlytely? Who is the manufacturer? What is their,Where can I order Nulvytely? Who is the manufacturer? What is,"Where to order Nulytely, manufacturer, phone number?",Where can I order NuLeafy? Who is the maker? What is,"Where can I order Nulytely, manufacturer, phone number?",Where can I order Nulytely? Who is the manufacturer? What's,"Can you tell me about Nulutymy, manufacturer, phone number to",Where can I order Nulytely? Who is the manufacturer? What phone number,Where can I order Nulytely? and Who is the manufacturer?,Can you tell me the location and contact info of Nulytely's manufacturer,Can you help me find a retailer and contact info for the Nullytely cleaning,Where can I order noni juice? Who makes it? What's the,Order information for a specific product and its manufacturer's contact details.,"Can you help me order Nulytely, manufacturer's contact info, and"
3,3,Can you tell me where I can test my daughter for Williams Syndrome in my area,Where can I test my daughter for Williams Syndrome in our area?,"The original question is lacking any content, making it impossible to rewrite.",Can you suggest a location or provider for a Williams syndrome test in my area?,Can you recommend a medical facility/professional for Williams Syndrome test?,"Explain the revised question and provide the answer in a few sentences.

The",Where can I get my daughter tested for Williams Syndrome in my area?,None,Can you help me find a place/person to get my daughter tested for Williams,N/A,None required.,Can you tell me where I can test my daughter for Williams Syndrome?,nan,Can you tell me where or whom I can get tested for Williams syndrome for my,None,(no summary given)
4,4,"Genetic test for MM, location TX, 63-year-old female","Genetic testing for MM, cost, and location.","Get genetic test, cost, MM genetic test.","Need info on cost & location of genetic testing for multiple myeloma, not","General Info about Parents, MM, location, and testing costs.",Where can I get MM genetic test for $?,"Where can I get genetic MM test, cost?

Write a song lyrics",None,"Genetic testing for multiple myeloma, cost?","Genetic test for MM, cost, and location.",Genetic Testing for Multiple Myeloma in TX for both parents deceased family,"Where can I get MM genetic test, cost?",Create a shorter version of the following question while preserving the meaning.,"Genetic test for multiple myeloma, cost, where can I get it?",Where can I get MM genetic test and cost?,"Genetic testing for MM in TX, cost and location?"
5,5,Are there commercial tests for hereditary IHHS heart condition in Texas?,Is there a commercial test for IHHS heart disease susceptibility? Where can I,Are there commercial genetic tests for IHHS heart condition in Texas?,Is there a genetic test for IHHS heart disease in Texas?,Commercial genetic test for IHHS heart condition available in Texas?,Is there a commercial genetic test for IHHS heart disease in Texas?,Is there a commercial genetic test for IHHS heart disease in Texas?,Is there a commercial genetic test for IHHS heart conditions in Texas?,Is there a commercial genetic test for IHHS heart disease in Texas?,Is there a commercial genetic test for IHHS heart disease in Texas?,Is there a commercial genetic test for IHHS in Texas?,Genetic test for IHHS heart disease available in Texas?,Are there commercial genetic tests for IHHS heart condition in Texas?,Genetic test for IHHS heart disease? Available in Texas?,Commercial genetic test for IHHS heart disease? Where in Texas?,Is there a commercial genetic test for IHHS? Where can I get it
6,6,Is chromosome 9 defective in me?,I have Friedreich's Ataxia. How do I know if chromosome,Faulty chromosome 9 in me?,Is my chromosome 9 defective? Is it related to Friedreich's A,"None needed, as the given question is already concise and meets the criteria.",Is chromosome 9 defective in me?,Is chromosome 9 defective in me?,Can faulty chromosome number 9 be found in me?,Chromosome 9 defect?,I have been diagnosed with Friedreich's Ataxia. Is defective chromosome,"No summary, as question is already short or doesn't need a summary.",Are chromosome numbers 9 and 10 in my genome defective or causing damage,Is chromosome number 9 faulty in me?,Can damage to chromosome 9 cause Friedreich's Ataxia?,I have Friedreich's Ataxia. Can defective chromosome 9 be,No summary is needed for this question as it is already concise.
7,7,How can we contact the correct branch of medical genetics for my sister in Texas?,"CPTI deficiency diagnosis, need genetic testing for sister in Texas.","What test should I order in seeking genetic testing?
Justification: The original",Which test should my sister get for cp found in Texas?,Testing for metabolic error of AF?,There is no usable input available to the designer.,My sister has Rhabdo-CKS and FA metabolic defect. Which branch of,Genetic test for CPTII deficiency from Nih website; sister diagnosed in Texas,Which test for cptii deficiency should my sister with rhabdomyol,The text is not available for summarization due to its brevity or format.,How can I order a definitive muscle biopsy test for Rhabdomyolysis,My sister in Texas diagnosed with CPTI deficiency. Seeking advice on genetic testing,"CPTII deficiency, metabolic failure, respiratory compromise, genetic testing for CPT","What test should my sister with cptii deficiency and possibly related metabolic errors,",Provide a more concise version of the given question.,"Renal crisis, rhabdomyolysis, metabolic error via genetic testing"
8,8,"Need help losing weight with a busy schedule, any dietary pills or shakes for fast","Busy work schedule, 50-pound weight loss goal. Seeking diet","Losing 50 lbs in 7 months, busy with work, seeking","Need help with rapid weight loss, long work hours, no time for proper diet",I want to lose 50 lbs; work 16 hours/day,How to lose 50 pounds in time for July whilst working long hours?,"Losing 50 lbs in 2 months, 16 hr work","Time constraints, help for weight loss, main problem areas.","How to lose 50 lbs in 7 months, no time for diets","Can't lose weight due to long hours, any dieting pills",How to lose weight if I work a lot and don't have time for,"Lose 50 pounds before July, no time for anything, diet pills/","Lose 50 lbs, work 16 hrs/day, time constraints",How can I lose 50 pounds quickly without time for exercise or healthy eating,Losing 50 lbs by July; very busy work schedule; diet pills,"Seeking weight loss help: 50 lbs goal, 16 hr work"
9,9,Can you help identify and recommend treatment for my son's 17-,Seeking help for Omental Panniculitis in 17-year,"Is my son's rare disease, omental panniculitis,",There is no summary for this question.,My son has a specific disease. What study is about?,Can your clinic help me find info about omental panniculitis and,Help needed for 17-year-old with Omental pannic,"What is omental panniculitis, how to treat it? Can",Short and concise summary not available for this question.,Can you help me determine my son's diagnosis/treatment for omental p,"My son has a rare disease, should I enroll him in a specific study?","Can you help me find info about a rare disease my son suffers from, specifically",What is omental panniculitis & treatment options?,none,What is omental panniculitis Weber's disease in 1,My son has a specific disease; can he participate in a clinical trial?
