,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
0,i need to know who manufscturs cet,I am wondering what company makes the drug bromocript,nan,nan,nan,nan
1,i need bromocriptine for a mass i have,I am wondering what company makes the drug bromocript,i need bromocriptine for a lump i have,i need bromocriptine for a lump i have,I need bromocriptine for a mass on my,nan
2,"""I need to order a nulytely"" says",Nulytely is a Russian brand of ice cream.,Hi can you tell me where i can order nulyte,"""I want to order a nulytely"" """,Hi can you tell me where can i order nulyte,Nulytely is a brand of Nul
3,i would like to have my daughter tested for williams,I want to get my daughter tested for Williams Syndrome. Can,nan,nan,I would like to have my daughter tested for Williams syndrome.,I would like to have my daughter tested for Williams syndrome.
4,Both my parents died in location tx with multiple myeloma,Both of my parents died of multiple myeloma in Texas,Both my parents died in tx with multiple myeloma father,Both of my parents died in Texas with multiple myeloma,Where can I get genetic testing for multiple myeloma and,Both parents died in TX location with father having multiple myel
5,Is there a commercial genetic test for the ihhs heart,Is there a commercial genetic test for IHHS heart disease,Is there a commercial genetic test for IHHS heart condition,Is there a commercial genetic test for ihhs heart disease,Is there a commercial genetic test for ihhs heart disease,Is there a commercial genetic test for the IHHS heart
6,i have been told i have friedreichs atax,I have been told I have Friedreich's Atax,I have been told that I have Friedreich's At,I have been told that I have Friedreich's At,I have been told that I have Friedreich’,nan
7,My sister in texas was just diagnosed with cptii,My sister in Texas was just diagnosed with CPTI deficiency,My sister in texas was just diagnosed with cptii,nan,My sister who lives in Texas was just diagnosed with cpt,My sister in Texas was diagnosed today with cptii deficiency
8,i am trying to loss 50 pounds before july the problem,"My problem areas are stomach, waist, butt and hips.","My problem area is stomach, waist, butt and hips.","I am trying to lose 50 pounds before July, the problem","I want to lose 50 pounds by July, the problem is",I am trying to lose 50 pounds before July the problem is
9,My son is 17 years old he has omental pann,Omental panniculitis Weber-Cristian,My son is 17 years old has omental pannic,My son is 17 years old he has omental pann,nan,My son has omental panniculitis Weber Christian
10,Vagual nerve stimulation and depression have suffered for many years,I have been diagnosed with SCA3 and am wondering if,nan,nan,nan,nan
11,My son of 13y is facing upper abdominal pain siver,My rectum is stretched and I need information about surgical options,nan,nan,nan,nan
12,Woman like me had a tubal ligation before 7yrs,"I am looking for information about prenatal testing, anamnio",nan,nan,nan,nan
13, thyroid cancer please send all data regarding surgery issues after the surgery,I have a mixed diagnosis of autoimmune connective tissue disease.,nan,nan,nan,nan
14,Will storing my medication in the freezer reduce their efficacy?,Will the effectiveness of my medications decrease if I store them in,Will storing my medications in the freezer reduce their effectiveness? I,nan,I have a lot of related questions about storing pills at different,Storing my medication in the freezer will reduce its effectiveness.
15,My mom has black her mounth neck and arms her,I have noticed hair loss on the lower extremities in men,nan,nan,nan,nan
16,i am a student at location here in location i am composing,My five year old son has Ganglisidosis GM 1,nan,nan,nan,nan
17,i have been diagnosed with sca3 i was wondering if,I have been diagnosed with SCA3 and am wondering if,I have been diagnosed with SCA3 and was wondering if,nan,nan,nan
18,i would like to know more advice on crating risper, need information about Folgard OS. I am in the US,nan,nan,nan,nan
19,My rectum is stretched out and i need information mailed to,My rectum is stretched and I need information about surgical options,My rectum is distended and i need information about surgical,My rectum is stretched and i need information by mail about,nan,nan
20,i am looking for information about having prenatal exams anmnio,"I am looking for information about prenatal testing, anamnio",I am looking for information on how to do prenatal tests am,nan,Prenatal testing for Leigh syndrome. I am looking for,Prenatal testing for Leigh syndrome. I am looking for
21,Hi i have mixed diagnosis of autoimmune connective tissue disease.,I have a mixed diagnosis of autoimmune connective tissue disease.,I have a mixed diagnosis of autoimmune connective tissue disease.,nan,I have been diagnosed with autoimmune connective tissue disease. I,I have a mixed diagnosis of autoimmune connective tissue disease.
22,My brother at age of 24 is detected with catract however,9-year-old boy diagnosed with 16p1311,nan,nan,nan,nan
23,i have undergone total hip replacement of both my hip jont,I had a total hip replacement of both hip joints in 1977,nan,I had a total hip replacement of both my hip joints in,"I had bilateral hip replacements in 1977, my left hip is",I have had a total hip replacement of both my hip joints
24,i have observed hair loss on lower extremities on males is,I have noticed hair loss on the lower extremities in men,I have observed hair loss on the lower extremities in males,I have noticed hair loss on the lower limbs in men.,I have observed hair loss on the male limbs. Is this,I have observed hair loss on the lower extremities in men
25,My son five years old has ganglisidose gm,My five year old son has Ganglisidosis GM 1,My five year old son has gangliside gm 1,My five year old son has GM 1 gangliside.,My son is five years old and has ganglioside,My 5 year old son has gangliosidosis g
26,i would like to interview someone by email in order to obtain,I would like to interview someone via email to get information about,I would like to interview someone via email to get information about,I would like to interview someone via email to get information on,I would like to interview someone via email in order to get,I would like to interview someone via email to gain insight into
27, need information about folgard os i am in usa but, need information about Folgard OS. I am in the US,I need information on folgard os I am in the USA,i need information on folgard os i am in the united,I am in the United States but the country is not listed,I need information about Folgard OS. I am in the
28,40-year-old woman has never experienced a mensus,I have had epilepsy for 26 years and my seizures have never,nan,nan,nan,nan
29,Severe constipation is also related to diabetes in old age,"""I'm tired of the numbness and pain in my",nan,nan,nan,nan
30, is balsalazide a steroid i have been on,Is balsalazide a steroid? I have been,Is balsalazide a steroid? I have been,Is balsalazide a steroid? I have been,Is balsalazide a steroid? I have been,I was on Asacol before taking balsalaz
31,My girlfriend has arthritis and autonomic disorder. Is this condition,My girlfriend has arthritis and autonomic dysfunction. Is this condition,My girlfriend has arthritis and autonomic disorder. Are there any,My girlfriend has arthritis and autonomic disorders. Are there any,nan,nan
32,i have a steel plate in my ankle from a severely broken,I have a steel plate in my ankle from a bad leg,I have a steel plate in my ankle due to a severe,I have a steel plate in my ankle from a badly broken,I have a plate in my ankle because I had a serious,nan
33,Re 16p1311 duplication of genes dear all i am,9-year-old boy diagnosed with 16p1311,A 9 year old boy in my caseload has been,A 9-year-old boy was diagnosed with 16p,A 9-year-old boy was diagnosed with the 16,A 9-year-old boy has been diagnosed with 16
34,How long is gabapentin good at room temperature thank,How long does Gabapentin last at room temperature? Thanks,How long is gabapentin effective at room temperature thanks,nan,How long does gabapentin keep at room temperature?,nan
35,Unopened prescription of atorvastatin is stored at,How long is the shelf life in an unopened container that,nan,I have an unopened prescription for atorvastatin,I have an unopened prescription for Atorvastatin,How long is the shelf life in an unopened container that
36,What are some illnesses caused by smoking also what are their effect,What diseases are caused by smoking and what effects do they have,What are some diseases caused by smoking and what are their effects,What are the diseases caused by smoking and what are their effects,What diseases can smoking cause? What effects does smoking have on,What are some diseases caused by smoking also what are its effects
37,When my son 6 months old when he was baby he had,"When my son was 6 months old, he had measles as",nan,My son had measles and he had not been vaccinated when he,My son was 6 months old when he got measles as a,My son was 6 months old and when he was a baby
38,i make decisions for my 47 year old daughter with down synd,I am making decisions for my 47-year-old daughter,My daughter with Down syndrome has been taking anastroz,I am making decisions for my 47 year old daughter who has,nan,I am making decisions for my 47 year old daughter with Down
39,i have had epilepsy for 26 years and my seizures have never,I have had epilepsy for 26 years and my seizures have never,I have had epilepsy for 26 years and my seizures have never,nan,I have had epilepsy for 26 years and my seizures have never,nan
40,My name is name i just need a clarity on acl,My son is 24 years old. We cannot find any medicines,nan,nan,nan,nan
41,i was diagnose with tos in my left shoulder was told,"""I'm tired of the numbness and pain in my",i was diagnosed with tos in my left shoulder and was,"I was told surgery would help my problem, physiotherapy did",I was diagnosed with a sprained left shoulder and the doctor,I was diagnosed with TOS in my left shoulder was told
42,"""I suppose we removed the eye duct due to","""I need to know what's going on because I'm",nan,nan,nan,nan
43,My 16 month old son has polymicrogyria. poly,I have chronic pain due to severe shingles. The,nan,nan,nan,nan
44,"""I overdosed on benadryl i got all","""I overdosed on Benadryl. I had"," sometime in march i overdosed on benadryl,",i overdosed on benadryl in march. i,"""I overdosed on Benadryl sometime in March","""I overdosed on Benadryl, got all"
45,One of my family members has a serious health issue in which,I am an African American woman who has been diagnosed with se,nan,nan,nan,nan
46,My mother is 96 years old and generally in good health.,My mother is 96 years old and in generally good health.,My mother is 96 years old and generally in good health.,My mother is 96 and generally healthy. I keep her on,"My mom is 96 and has always been in good health,",My mother is 96 years old and is generally in good health
47,Dentist has told me i have modadvanced period,I have advanced periodontitis with gum pockets of 59mm,i have advanced modal periodontitis with 59mm gum,I have advanced periodontitis with 59mm periodontal,"I have moderate periodontitis, with 59mm periodont",If periodontitis is left untreated for about 7 months will
48,i am type 1 diabetic and my doctor said my case is,I am a type 1 diabetic and my doctor said my case,i am type 1 diabetic and my doctor said my case is,I am a type 1 diabetic and my doctor said that my,I am a type 1 diabetic and my doctor said my situation,"""I was at my endocrinologist today and he said"
49,My partner got pregnant after I had a vasectomy 16 years,My father has lost his left arm muscle due to nerve damage,nan,nan,nan,nan
50,My daughter has turner syndrome but shes beaten all odds,My daughter has Turner syndrome but she has exceeded all expectations.,nan,nan,My daughter has Turner Syndrome but she beat all the odds and,My daughter has turner syndrome but she has beaten all the
51,Do you know what genetic abnormality causes lipoamide dehyd,Do you know which genetic abnormality causes lipoamide dehyd,Do you know which genetic abnormality causes lipoamide dehyd,nan,nan,Do you know what genetic abnormality causes lipoamide dehyd
52,If i get a vesectomy will i still be able,I know it's not normal for a man to have multiple,Will i still be able to have multiple orgasms if i,i know it's not even common to have multiple orgasms,"As a man, having multiple orgasms is not common.",nan
53,How long do radiation treatments actively treat the area where it was,My father had surgery and two abscesses were found in,nan,nan,nan,nan
54,my 10year old boy has duchenne muscular dy,My 10 year old boy has Duchenne muscular dystro,My 10 year old son has Duchenne muscular dystro,My 10 year old boy has Duchenne muscular dystro,My 10 year old boy has Duchenne Muscular Dy,My 10-year-old son has Duchenne muscular
55, bcg and stage 3 urinary bladder cancer my dad begins this,My father is starting this BCG treatment in a few weeks, bcg and stage 3 urinary bladder cancer my father will start,My father is starting this bcg treatment in a few weeks,My dad is starting bcg treatment in a few weeks for,nan
