,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
0,manufscturs cetirizine my walmart is,nan,nan,nan,nan,nan
1,bromocriptine i need it for a mass ,who makes bromocriptine? I need it for a,bromocriptine i need it for a lump ,bromocriptine i need it for a lump ,bromocriptine is a drug made by a company,nan
2,can you tell me where do i order the nulytely,"can you tell me where I can order the Nulytely,",hi can you tell me where i can order nulytely,can you tell me where can i order the nulytely,can you tell me where can i order nulytely who,can you tell me where I can order Nulytely? Who
3,williams syndrome i would like to have my daughter tested,can you please tell me where I can go or who does this in,nan,nan,Williams syndrome I would like to have my daughter tested for Williams syndrome ,Williams syndrome I would like to have my daughter tested for Williams syndrome 
4,my parents died in location tx with multiple myelo,clinicaltrialsgov Question General Information My parents died of multiple my,clinicaltrialsgov general information question both my parents died in ,my father was 70 and my mother was 84 . my treating,clinicaltrialsgov Question General Information Both of my parents died in,both parents died in TX location with father having multiple myel
5,genetic test for ihhs heart condition is there a,genetic testing for IHHS heart disease is there a commercial genetic,IHHS heart condition genetic test is there a commercial genetic test,genetic test for ihhs heart disease is there a,genetic testing for ihhs heart disease is there a,is there a commercial genetic test for the IHHS heart condition
6,friedreichs ataxia has been told i have ,chromosome number 9 is defective in both of my parents and,Friedreich's Ataxia has faulty chromosome,Friedreich's Ataxia is defective in both my parents and,Friedreich's Ataxia is related to a defect in,nan
7,sister in texas was just diagnosed with cpt,muscle BX was done a few months ago as she was still,her sister in texas was just diagnosed with cp,nan,rhabdomyolysis cks 150000 atn,"rhabdomyolysis, cks 150000 at"
8,the problem is i work 16 hours a day dont have time,"my problem areas are stomach, waist, butt and hips ","im trying to lose 50 lbs before july, the problem","my problem area is stomach, waist, butt and hips ","my problem areas are my abdomen, waist, hips and hips",I am trying to lose 50 pounds before July . I work 16
9,clinicaltrialsgov question specific study my son is 17 years old,clinicaltrialsgov question specific study my son is 17 years old,clinicaltrialsgov specific study question my son is 17 years old,clinicaltrialsgov question specific study my son is 17 years old,nan,ClinicalTrialSgov Question Specific Study My son is 17 years old
10,vagual nerve stimulation and depression have suffered for many years complicated by,nan,nan,nan,nan,nan
11,son of 13y is facing upper abdominal pain siverly in the,nan,nan,nan,nan,nan
12,i just want to ask if have some ways or have ,nan,nan,nan,nan,nan
13,thyroid cancer please send all data regarding surgery issues after the surgery possible outcomes,nan,nan,nan,nan,nan
14,will storing my medication in the freezer reduce their efficacy ,will the effectiveness of my medications decrease if I store them in the,the medications I am concerned about are digoxin and lis,nan,the medications I'm concerned about are Digoxin and Lis,the medications I am concerned about are digoxin and lis
15,she has black her mounth neck and arms her skin is changed in,nan,nan,nan,nan,nan
16,my name is name and i am a student at location here,nan,nan,nan,nan,nan
17,medlineplus has been diagnosed with sca3 .,can you help me find an organization or club that can help me navigate,medlineplus can help me find an organization or charity that can,nan,nan,nan
18,im calling because i would like to know more advice on crating,nan,nan,nan,nan,nan
19,my rectum is stretched out and i need information mailed,my rectum is stretched and I need information about surgical options by,my rectum is distended and i need information about surgical,my rectum is stretched and i need information by mail about,nan,nan
20,prenatal exams anmnio or chorionic ,prenatal testing for leigh syndrome I am looking for information about pre,prenatal tests for leigh syndrome I am looking for information on how,nan,prenatal testing for leigh syndrome I am looking for information on doing,I am looking for information on how to perform prenatal testing .
21,hi i have mixed diagnosis of autoimmune connective tissue disease ,I have a mixed diagnosis of autoimmune connective tissue disease ,i have a mixed diagnosis of autoimmune connective tissue disease,nan,connective tissue disease is autoimmune . rheumat,I have a mixed diagnosis of autoimmune connective tissue disease 
22,i amd my sister mom dad we all have our eyes checked,nan,nan,nan,nan,nan
23,charnley process my left joint is completely worn outhow safe,I had a total hip replacement of both hip joints in 1977 ,nan,I had a total hip replacement of both my hip joints in 1977,"I had bilateral hip replacements in 1977, my left hip is completely",my left joint is fully used as it is safe and effective it is
24,hair loss on lower extremities on males is this poor blood circulation,hair loss on the lower extremities in men .,hair loss on the lower extremities in males is poor blood circulation,hair loss on the lower limbs in men .,hair loss on the male limbs is due to poor blood circulation,hair loss on the lower extremities in men is poor blood circulation?
25,"son, 5, has ganglisidose gm 1",my five year old son has Ganglisidosis GM 1,five-year-old son has gangliside gm,five year old son has GM 1 gangliside .,my son is five years old and has ganglioside 1,5 year old son has gangliosidosis g
