,spanish,french,chineese,italian,german
0,Necesito saber quién manufscturs cetirizine mi walmart está buscando un nuevo suministro y no recibe lo reciente,"j'ai besoin de savoir qui fabrique la cétirizine, mon Walmart recherche un nouvel approvisionnement et ne reçoit pas le récent",我需要知道谁制造西替利嗪我的沃尔玛正在寻找新的供应，但没有得到最近的,"ho bisogno di sapere chi produce la cetirizina, il mio Walmart sta cercando una nuova fornitura e non sta ricevendo quella recente","ich muss wissen, wer Cetirizin herstellt. Mein Walmart sucht nach einem neuen Vorrat und bekommt nicht die neuesten"
1,"¿Quién hace bromocriptina? Me pregunto qué compañía fabrica la bromocriptina de drogas que la necesito para una misa que tengo en mi glándula pituitaria y el costo sigue aumentando, nunca puedo comprar una receta completa debido al precio y me dijeron si me dan una retención. del fabricante del medicamento, a veces ofrecen cupones o algo para ayudarme a pagar el medicamento si compro 10 píldoras en las que tengo que tomar 2 veces al día, me cuesta 7800 y así es como tengo que comprarlas gracias","qui fabrique la bromocriptine je me demande quelle entreprise fabrique le médicament bromocriptine j'en ai besoin pour une masse que j'ai sur mon hypophyse et le coût ne cesse d'augmenter je ne peux jamais acheter une ordonnance complète à cause du prix et on m'a dit que si je mettais la main sur le fabricant du médicament, ils offrent parfois des coupons ou quelque chose pour m'aider à payer le médicament si j'achète 10 pilules que je dois prendre 2 fois par jour, cela me coûte 7800 et c'est comme ça que je dois les acheter merci",谁制造了溴隐亭，我想知道哪家公司制造了溴隐亭这种药物，我需要它来治疗我脑垂体上的肿块，而且价格一直在上涨，由于价格昂贵，我永远都买不到全处方，有人告诉我，如果我联系到这种药物的制造商，他们有时会提供优惠券或其他东西来帮助我买得起药，如果我买 10 片药，每天服用 2 次，需要花费 7800 美元，这就是我购买它们的方式，谢谢,chi produce la bromocriptina mi chiedo quale azienda produce il farmaco bromocriptina mi serve per una massa che ho sulla ghiandola pituitaria e il costo continua ad aumentare non posso mai comprare una prescrizione completa a causa del prezzo e mi è stato detto che se metto le mani sul produttore del farmaco a volte offrono buoni sconto o qualcosa per aiutarmi a permettermi il medicinale se compro 10 pillole che devo prendere 2 volte al giorno mi costano 7800 ed è così che devo comprarle grazie,"wer stellt Bromocriptin her? Ich frage mich, welche Firma das Medikament Bromocriptin herstellt. Ich brauche es für eine Schwellung an meiner Hypophyse und die Kosten steigen ständig. Ich kann wegen des Preises nie ein volles Rezept kaufen und mir wurde gesagt, wenn ich den Hersteller des Medikaments kontaktiere, bieten sie manchmal Gutscheine oder etwas Ähnliches an, um mir zu helfen, das Medikament zu bezahlen. Wenn ich 10 Tabletten kaufe, die ich 2 Mal am Tag einnehmen muss, kostet mich das 7800 und so muss ich sie kaufen. Danke."
2,"Hola, ¿puedes decirme dónde puedo pedir el Nulytely? ¿Quién es el fabricante? ¿A qué número de teléfono puedo llamar? Gracias.",bonjour pouvez vous me dire où puis je commander le nulytely qui est le fabricant quel numéro de téléphone puis-je appeler merci,你好，你能告诉我在哪里可以订购 nulytely 制造商是谁我可以拨打什么电话号码谢谢,ciao puoi dirmi dove posso ordinare il nulytely chi è il produttore che numero di telefono posso chiamare grazie,"hallo, können Sie mir sagen, wo ich das Nulytely bestellen kann, wer der Hersteller ist, welche Telefonnummer kann ich anrufen, danke"
3,Síndrome de Williams Me gustaría que le hicieran la prueba del síndrome de Williams a mi hija. ¿Podrían decirme dónde debo ir o quién lo hace en mi área? Gracias.,syndrome de williams j'aimerais que ma fille soit testée pour le syndrome de williams pourriez-vous s'il vous plaît me dire où je devrais aller ou qui le fait dans ma région merci,威廉斯综合征 我想让我的女儿做威廉斯综合征的检查 你能告诉我去哪里做检查吗 或者在我所在地区谁能做检查 谢谢,"sindrome di Williams vorrei far fare il test per la sindrome di Williams a mia figlia, potresti dirmi dove potrei andare o chi lo fa nella mia zona? Grazie.","Williams-Syndrom. Ich möchte meine Tochter auf das Williams-Syndrom testen lassen. Können Sie mir bitte sagen, wohin ich gehen kann oder wer das in meiner Gegend macht? Danke."
4,ClinicalTrialSgov Pregunta Información general Ambos padres murieron en la ubicación TX con un padre de mieloma múltiple en 70 y madre de 84 años. Buena salud y dónde podría obtener la prueba genética para MM y el costo de aprox.,Question sur ClinicalTrialsgov Informations générales Mes deux parents sont décédés au Texas avec un myélome multiple. Mon père avait 70 ans et ma mère 84 ans. L'oncologue traitant m'a conseillé de passer un test tous les deux ou trois ans. Je ne connaissais pas de test génétique pour le mm. Je suis une femme de 63 ans en bonne santé. Où puis-je passer le test génétique pour le mm et quel est le coût approximatif du test ?,clinicaltrialsgov 问题一般信息我的父母都死于德克萨斯州，父亲 70 多岁，母亲 84 岁，主治肿瘤科医生建议我每隔几年进行一次检测，我不知道有针对多发性骨髓瘤的基因检测，我今年 63 岁，身体健康，我可以在哪里进行多发性骨髓瘤的基因检测，检测费用大约是多少,clinicaltrialsgov domanda informazioni generali entrambi i miei genitori sono morti in località tx con mieloma multiplo padre 70enne e madre 84enne l'oncologo curante mi ha consigliato di sottopormi a test ogni pochi anni non ero a conoscenza di un test genetico per mm sono una donna di 63 anni in buona salute e dove potrei fare il test genetico per mm e costo approssimativo per il test,"clinicaltrialsgov Frage Allgemeine Informationen Meine Eltern sind beide an multiplem Myelom in Texas gestorben, mein Vater war in den 70ern und meine Mutter 84 Jahre alt. Der behandelnde Onkologe riet mir, mich alle paar Jahre testen zu lassen. Ich wusste nichts von einem genetischen Test auf MM. Ich bin eine 63 Jahre alte Frau bei guter Gesundheit. Wo kann ich den genetischen Test auf MM bekommen und wie hoch sind die ungefähren Kosten für den Test?"
5,"¿Existe una prueba genética comercial para la condición cardíaca IHHS? Mi familia sufre de esta condición hereditaria y me gustaría saber quién es susceptible. Si es así, ¿dónde puedo hacerla en Texas?",test génétique pour la maladie cardiaque ihhs existe-t-il un test génétique commercial pour la maladie cardiaque ihhs ma famille souffre de cette maladie héréditaire et j'aimerais savoir qui est susceptible si oui où puis-je le faire au Texas,针对 ihhs 心脏病的基因检测 是否有针对 ihhs 心脏病的商业基因检测 我的家人患有这种遗传性疾病，我想知道哪些人容易患上这种疾病 如果是的话 我可以在德克萨斯州哪里进行检测,"test genetico per la condizione cardiaca IHHS esiste un test genetico commerciale per la condizione cardiaca IHHS? La mia famiglia soffre di questa condizione ereditaria e vorrei sapere chi è suscettibile. In caso affermativo, dove potrei farlo in Texas?","Gentest für IHHS-Herzkrankheiten Gibt es einen kommerziellen Gentest für IHHS-Herzkrankheiten? Meine Familie leidet an dieser Erbkrankheit und ich würde gerne wissen, wer dafür anfällig ist. Wenn ja, wo kann ich ihn in Texas durchführen lassen?"
6,"Me han dicho que tengo ataxia por friedreichs. Estoy buscando un tratamiento para revertirlo que tengo que ver con el cromosoma número 9 defectuoso en mis padres y el posible daño al cromosoma número 10, ¿podría decirme si el número 9 es? defectuoso en mi",on m'a dit que j'avais l'ataxie de Friedreich. Je cherche un traitement pour l'inverser. Cela a à voir avec le chromosome numéro 9 défectueux chez mes deux parents et d'éventuels dommages au chromosome numéro 10. Pourriez-vous me dire si le numéro 9 est défectueux chez moi ?,我被告知我患有弗里德赖希共济失调，我正在寻找一种治疗方法来逆转它，这与我父母的 9 号染色体缺陷以及 10 号染色体可能受损有关，你能告诉我我的 9 号染色体是否有缺陷吗,"mi è stato detto che ho l'atassia di Friedreich e sto cercando una cura per invertirla, ha a che fare con il cromosoma numero 9 difettoso in entrambi i miei genitori e un possibile danno al cromosoma numero 10, potresti dirmi se il numero 9 è difettoso in me?","Mir wurde gesagt, dass ich Friedreich-Ataxie habe. Ich suche nach einer Behandlung, um sie rückgängig zu machen. Es hat mit dem Chromosom Nummer 9 zu tun, das bei beiden meiner Eltern defekt ist, und einer möglichen Schädigung des Chromosoms Nummer 10. Können Sie mir sagen, ob Nummer 9 bei mir defekt ist?"
7,"A mi hermana en Texas le diagnosticaron hoy una deficiencia de cptii, todavía no sabemos qué variante. Me dijeron hace un año, después de que casi muriera por rabdomiolisis, cks 150000 atn rf, compromiso respiratorio, que se le hiciera una prueba para detectar un error metabólico de FA. Hasta hoy, realmente no tenía idea de qué prueba solicitar. Hace unos meses le realizaron una bx muscular, ya que todavía estaba enferma el año pasado. Otra recurrencia de rabdomiolisis este año motivó la bx. Ella es militar retirada. No sé a qué rama de la medicina contactar para las pruebas genéticas del sitio web de los NIH. La bx muscular es la más definitiva. También encontré un número de teléfono.","ma sœur au texas vient d'être diagnostiquée avec un déficit en cptii aujourd'hui, nous ne savons pas encore quelle variante on m'a dit il y a un an après sa mort imminente de rhabdo cks 150000 atn rf compromis respiratoire à tester pour une erreur métabolique fa jusqu'à aujourd'hui, je n'avais vraiment aucune idée du test à demander son bx musculaire a été effectué il y a quelques mois car elle était encore malade l'année dernière une autre récidive de rhado cette année a incité le bx elle est militaire à la retraite je ne sais pas quelle branche de la médecine contacter pour un test génétique à partir du site Web du nih muscle bx est le plus définitif j'ai aussi trouvé un numéro de téléphone n",我住在德克萨斯州的姐姐今天刚被诊断出患有 cptii 缺乏症，我们还不知道是哪种变异，一年前，在她因横纹肌溶解症 cks 150000 atn rf 呼吸功能受损而濒临死亡后，我被告知要进行 fa 代谢错误检测，直到今天我真的不知道该要求她进行哪种检测，几个月前她进行了肌肉 bx，因为去年她还在生病，今年又一次横纹肌溶解症复发促使她进行了 bx，她是退役军人，我不知道该联系哪个医学分支进行基因检测，来自 nih 网站的肌肉 bx 是最确定的，我还找到了一个电话 n,a mia sorella in Texas è stata appena diagnosticata una carenza di CPTII oggi non sappiamo ancora quale variante mi è stata detta un anno fa dopo la sua quasi morte per rabdomiolisi cks 150000 atn rf compromissione respiratoria da testare per un errore metabolico fa fino a oggi non avevo davvero idea di quale test richiedere la sua BX muscolare è stata eseguita qualche mese fa poiché era ancora malata l'anno scorso un'altra recidiva di rabdomiolisi quest'anno ha richiesto la BX è un militare in pensione non so quale branca della medicina contattare per i test genetici dal sito web nih la BX muscolare è la più definitiva ho anche trovato un telefono n,"bei meiner Schwester in Texas wurde heute gerade ein CPTI-Mangel diagnostiziert. Wir wissen noch nicht, welche Variante mir vor einem Jahr gesagt wurde, nachdem sie fast an Rhabdo-CKS 150.000 ANN RF gestorben wäre. Die Atembeschwerden müssen auf einen FA-Stoffwechselfehler getestet werden. Bis heute hatte ich wirklich keine Ahnung, welchen Test ich anfordern sollte. Ihr Muskel-BX wurde vor ein paar Monaten durchgeführt, da sie letztes Jahr noch krank war. Ein weiterer Rückfall von Rhodo in diesem Jahr löste den BX aus. Sie ist pensionierte Soldatin. Ich weiß nicht, welchen Zweig der Medizin ich für einen genetischen Test kontaktieren soll. Auf der NIH-Website ist Muskel-BX am aussagekräftigsten. Ich habe auch eine Telefonnummer gefunden."
8,"Estoy tratando de perder 50 libras antes de julio, el problema es que trabajo 16 horas al día, no tengo tiempo para hacer nada más si hay píldoras de DEIT o batir que pueda usar para ayudarme también mi área de problemas es la cintura estomacal y la cadera por favor ayuda","j'essaie de perdre 50 livres avant juillet, le problème est que je travaille 16 heures par jour et je n'ai pas le temps de faire autre chose. Existe-t-il des pilules ou des shakes Deit que je peux utiliser pour m'aider ? Ma zone à problèmes est l'estomac, la taille, les fesses et les hanches, aidez-moi s'il vous plaît",我想在七月之前减掉 50 磅，问题是我每天工作 16 个小时，没有时间做其他事情，有没有减肥药或奶昔可以帮助我，我的问题部位是腹部、腰部、臀部和髋部，请帮帮我,"sto cercando di perdere 50 libbre prima di luglio, il problema è che lavoro 16 ore al giorno e non ho tempo per fare altro. C'è una pillola o un frullato deit che posso usare per aiutarmi? Inoltre, la mia zona problematica è stomaco, vita, glutei e fianchi. Per favore, aiutatemi.","ich versuche, vor Juli 50 Pfund abzunehmen. Das Problem ist, dass ich 16 Stunden am Tag arbeite und keine Zeit für etwas anderes habe. Gibt es Deit-Pillen oder einen Shake, die mir helfen können? Meine Problemzonen sind Bauch, Taille, Po und Hüfte. Bitte helfen Sie mir."
9,ClinicalTrialSgov Pregunta Estudio específico Mi hijo tiene 17 años. Tiene paniculitis omental Weber Enfermedad Cristian.,Clinicaltrialsgov question étude spécifique mon fils a 17 ans il a une panniculite omentale maladie de Weber Cristian votre institut peut-il m'aider à suggérer ce qu'est cette maladie et comment la soigner si vous en avez besoin je peux envoyer tous les détails,clinicaltrialsgov 问题特定研究我的儿子 17 岁，他患有网膜脂膜炎韦伯克里斯蒂安病，您的研究所能帮助我建议这是什么疾病以及如何治疗，如果您需要，我可以发送完整的详细信息,clinicaltrialsgov domanda studio specifico mio figlio ha 17 anni ha pannicolite omentale malattia di Weber Cristian il vostro istituto può aiutarmi a suggerire cos'è questa malattia e come si cura se avete bisogno posso inviare i dettagli completi,"clinicaltrialsgov Frage spezifische Studie mein Sohn ist 17 Jahre alt er hat Omental panniculitis Weber-Cristian-Krankheit kann Ihr Institut mir helfen, vorzuschlagen, was diese Krankheit ist und wie sie zu behandeln, wenn Sie brauchen, kann ich die vollständigen Details senden"
